"","AlignID","Factor","tmean","FoundIn","A_060223_002","A_060223_003","A_060223_004","A_060223_005","A_060223_SHB22","A_062923_003","A_062923_004","A_062923_005","A_062923_006","A_062923_007","Q_102623_012","Q_102623_But1","Q_102623_But2","Q_102623_But3","Q_102623_But4","Q_102623_But5","A_060223_SHB1","A_060223_SHB10","A_060223_SHB11","A_060223_SHB12","A_060223_SHB13","A_060223_SHB16","A_060223_SHB17","A_060223_SHB21","A_060223_SHB23","A_060223_SHB24","A_060223_SHB4","A_060223_SHB8","A_062923_SHB1","A_062923_SHB10","A_062923_SHB12","A_062923_SHB5","A_062923_SHB7","A_20210825_001","A_20210825_004","A_20210825_011","A_20210825_014","A_20210825_016","A_20220308_009","A_20220308_010","A_20220308_012","A_20220308_018","Q_102623_004","Q_102623_005","Q_102623_009","Q_102623_010","Q_102623_017","A_060223_SHB14","A_060223_SHB18","A_060223_SHB5","A_060223_SHB6","A_060223_SHB7","A_060223_SHB9","A_062923_SHB11","A_062923_SHB16","A_062923_SHB18","A_062923_SHB19","A_062923_SHB21","A_062923_SHB3","A_062923_SHB4","A_062923_SHB6","A_20210825_002","A_20210825_012","A_20210825_017","A_20220308_004","A_20220308_006","A_20220308_011","A_20220308_014","A_20220308_015","A_20220308_016","Q_102623_001","Q_102623_002","Q_102623_006","Q_102623_008","Q_102623_011","Q_102623_014","Q_102623_015","Q_102623_016","Q_102623_018","Q_102623_021","Q_102623_022","Q_102623_027","A_060223_SHB15","A_060223_SHB19","A_060223_SHB2","A_060223_SHB20","A_060223_SHB3","A_062923_SHB13","A_062923_SHB14","A_062923_SHB15","A_062923_SHB17","A_062923_SHB2","A_062923_SHB20","A_062923_SHB22","A_062923_SHB8","A_062923_SHB9","A_20210825_013","A_20210825_015","A_20210825_018","A_20220308_005","A_20220308_007","A_20220308_008","A_20220308_013","A_20220308_017","Q_102623_003","Q_102623_007","Q_102623_013","Q_102623_019","Q_102623_020","Q_102623_023","Q_102623_024","A_20210825_019","A_20220308_003","Q_102623_025","Q_102623_026"
"45",375,"Factor #375",22.549,115,1586.646,1783.325,3509.023,3113.28,318.0354,1387.94,1025.85,655.1509,143.9883,112.3134,135423,146447.6,325176.6,175905.3,285994.2,112358,1574.994,810.9726,25346,246461,1522.429,70394,1308.177,36512,97367,39582,743.5561,75112,87260,107.0876,53524,74757,13140,337.2076,553.169,188.8826,260.1223,436.2659,495.6577,360.5426,194.1911,444.397,233226.7,306291.6,191186.1,104943.5,333292.7,107883,1853.423,62950,36225,41982,621.0567,27833,107.9491,31711,126244,33657,37494,20420,33444,272.9494,369.6798,193.8306,171.4449,501.2804,280.0739,169.012,112.9974,228.0142,400001.9,342643,300733,463416,325282.2,348397.4,296293.5,280083.2,300137.7,241734,51100.23,195479.3,1196.581,1318.069,54908,114612,812.3488,443.8113,15303,15553,22313,49665,60353,95031,24779,212.7959,416.6511,197.0184,718667,519.6451,96.34433,308.9407,211.4704,202.7628,357824.5,197028.5,210757.2,340493.2,3028841,259321.8,201436.1,1279.897,260.4815,364583.8,137825.4
"46",382,"Factor #382",22.5902,115,1499.441,1235.091,874.8154,1790.259,3510.185,695.2928,728.964,361.7014,57.43943,86.38889,207027.8,119858.9,207529.6,128881,98538.34,111202.5,3128.016,1114.723,599.6039,1008.714,1864.36,1120.864,3179.224,712.5419,90842,60150,75051,4528.882,165.1686,280.6468,82848,23878,233.1104,255.659,197.8557,119.3012,172.1806,259.3959,303.3704,1233.795,242.4815,309.1002,190218.8,151000,624587,186765.3,262267.8,340089,174891,154425,93836,127368,268.8455,280.5191,15656,801.1146,335824,45633,91072,474.828,62852,450.215,315.1451,100.9854,256.7276,222.9359,669.198,456.2197,371.8527,432.8258,602721.7,1356920,239674,1223190,199790.4,610039,2646755,257082.3,353646.2,1085685,45452.86,1926374,84634,1939.86,2574.4,281733,3422.417,175151,39385,108016,57305,398.4137,663344,554.9818,274.0297,284.8322,136.3593,180.4721,136.8182,184.9744,180.9489,146.5948,338.1525,107.3079,1004505,1340002,193697.7,1858263,11066713,273433.5,176579.6,1170.015,112.333,226159.8,125636.6
"47",394,"Factor #394",22.6531,115,304.0115,873.9245,834.9213,1671.756,3739.269,646.9698,686.7314,1495.876,79.91789,87.09629,219063.7,50025.03,480187.5,23256.91,37935.7,20182.16,625.1613,268.3519,1088.256,507.473,825.5316,660.0577,1018.392,891.2461,631.1881,1268.555,3865338,713.9305,220.7397,206.8123,286.2134,138.4911,188.5063,202.2577,187.4346,356.2709,296.1996,198.2264,1179719,727.6998,1280531,373.9218,9217.595,150800,481464,14168.59,171602,685.8068,715.2264,441.2684,348.0684,4542,1268.415,262.8622,4169,288.3228,5075,234.6304,12715,312.984,211.8603,170.4949,219.3779,15944,1207984,1188061,25261,495.2201,1168505,1114661,64775,339744,43434.01,645124,188716,341271,742166,97961,8024.982,54755.98,25385.59,206217,693.8859,755.1235,1345.471,856.1651,631.6779,135.7085,176.7496,534.4543,127.1706,266.5262,556.4133,260.3475,270.5676,504.2887,248.2651,478.5888,289.3604,1363186,497241,407.4801,367.1105,1443749,108754,87328,24408.23,131669,171123,111798,124173,689.578,100.9079,40002.17,261327.1
"48",393,"Factor #393",22.7833,115,1349.396,2651.409,1251.94,4957.073,872.7982,2667.383,515.0831,138.9197,67.5014,120.3286,213503.6,169163.3,193724.4,201834.3,250672.6,117050,362.6592,518.719,138.3375,436.9649,554.022,217.1335,245.2255,336.3672,737.0615,330.963,404.6005,678.5958,223.3971,104.6681,105.3604,162.0269,238.5684,1684413,841544,5157706,32525357,13300480,277.7545,82848,114.7329,353315,25136.24,34729.61,47133.31,86560.38,44468.36,64915147,559.9846,433.631,101.1795,142.1613,395.1298,103.5156,98.25572,3456,217.8049,231.525,223.1636,201.6961,256.6345,684269,27047976,14989086,720801,454100,231.9588,108.7592,75.10191,662121,133939.6,14914.64,115602.8,19488.51,47174.62,24276.24,29687.94,58852.18,20613.52,39355.17,18945.2,32390.83,720.3827,53744287,50216389,108.9693,411.1161,7726596,62045408,134.5626,319.5125,329.2094,223.0606,216.5233,51059654,165.2305,303339,29733910,3668987,769293,2236659,590246,1249049,107.3083,16953.85,28660.07,49094.67,48334.67,30433.45,47116.31,24111.31,198034,39.39051,74676.18,133609
"49",419,"Factor #419",22.8583,115,3011.563,5654.633,3040.297,10072.83,282.8378,833.9873,1135.459,900.5456,249.2878,301.1312,379340,156229.7,290167.3,452927.6,382665.4,155614.5,4285.486,820.372,559.5245,16648,1958.47,405.2571,4370.008,3624.948,1876.557,2265.729,1067.534,2352.318,326.9607,340.4563,20455,34393,214.4022,257.4335,174.1125,232128,237306,25429,218176,451.6948,276219,110200,540018.6,295167.2,507677.6,674903.2,384056.2,1076.488,2488.384,3170.296,4236.192,922.081,1781.914,15337,364.785,32208,23441,24842,231.4905,370.4363,12594,97.17353,66017,282.5344,267.6711,231395,17800,27661,6038,25975,618086.8,539273.9,524781,79413.16,424374.6,494187.8,269622.1,535926.8,577509.1,158949.5,21064.29,249029.2,1390.617,2323.056,5921.301,561.0537,944.5279,547.1557,246.1758,437.4475,742.527,320.2248,228.2396,34163,349.9177,224.7165,437.1797,245.7023,343.3323,262338,156664,172264,197013,248937,670466.7,317866.8,317689.4,414560.4,367379.7,331643.3,219375.8,767.4736,184.3811,506297.8,66070.69
"50",389,"Factor #389",22.8804,115,2617.81,3411.708,2333.145,4209.93,22994,543.2479,729.0297,453.9072,193.6358,116.4954,136249.8,210199,340903.4,218016.7,234156.7,134903.2,51140546,41102843,54232302,53543328,53113849,52745084,51626171,73624784,1051.209,52614438,22901285,52852824,7358207,124.9876,136.2786,185.9368,57309305,28345997,220.9616,27129733,211.0172,37487791,658057,98.81137,140.6979,298.8425,38878.26,55611.4,77541.34,89630.3,67932.65,597.5818,59364795,67592491,55881307,213.9664,53047528,111.3167,68267537,8670576,70206903,59701086,55886527,68634881,318.3384,122.822,11827566,151.5723,109.6105,248.1932,165.0125,128.749,109.4966,271.3835,225460.4,82742.52,241619,11761291,42109.16,102627.1,50144.33,170442.8,61964.62,79475.93,29760.69,32466.27,74877789,50807152,1361.077,72443151,809.0086,51663650,223.7145,56771659,367.3852,376.662,295.9192,232.5687,200.9304,50867587,281.6643,136.4644,252.6628,372.8941,67.22297,219.5753,148.6916,137.574,103175.3,43224.14,260733.3,54104.61,66512.95,114506.8,28815.88,1092.162,53.90202,20540.42,153353.5
"51",418,"Factor #418",22.8896,115,1821.964,2535.34,3203.99,3756.425,5635.956,366.1115,236.6149,95.97001,159.6787,115.0503,443698.2,200871.8,186559.7,198736.4,210351.9,161827.8,3528.658,1770.61,697.4591,1509.702,2603.953,13158,1812.136,6877.532,3366.048,15333,2275.879,4299.013,57165,688.2571,26971,29150,461.4958,387.1897,921.7229,68.9771,71924,623.9525,99852,33372,474.9259,87695,393868.8,713123.3,420228.5,525071,545642.9,2033.306,2084.941,2224.591,2376.085,483.3576,848.7675,461.7345,118.4238,577.3237,15753,334.2845,36260,22452,69906,143.1129,336.3737,110.6793,26445,22292,31363,32417,24432,10236,555122.8,663689.1,787324.7,4758174,730629.5,504791,536114.4,709171.9,607675.6,446564,79525.16,123943.8,2748.128,4378.29,2460.335,35554,5330.304,24750,766.2467,543.743,450.7068,54067,24150,30665,33614,20014,70.93651,243.8721,126374,9377,423.7413,217.1297,383.4648,110458,654752.8,739022.1,399035,511643,584240.2,416063.6,585663.1,282.9868,524.0138,377659.9,448516.3
"52",388,"Factor #388",22.9523,115,2437.389,1947.392,1161.23,2080.744,5235.831,601.9903,870.5084,1632.168,112.7825,97.5725,527387.9,291289.8,282250.1,209161.8,153007.6,209490.3,3922557,3351.168,1942.77,2662.303,6012.555,3289.103,2006.53,4732.646,3601398,5348710,17909746,8246.35,276.8859,1467.61,3712756,1151.618,42261380,16768959,676.0353,20346990,204.4909,191.2962,350876,48316,282.448,547.8516,430495.8,379475.7,578312.4,391372.9,260134,25292979,6405546,29147745,25478451,4069705,26546381,6246167,414.3847,755.7775,3380940,4498691,949.5876,444.111,3424049,521.6583,341.658,606.6966,227.6666,559161,1576.892,553.3147,392050,307.4343,549084,467946.3,137867,112997.4,525588.3,480728.1,226921.8,156016,413625.2,282231,88752.71,516804,7060.619,2535.057,8171.295,1819.152,19128589,33504363,18677678,279.5272,648.3947,375.3344,5277441,3873078,231.2002,3659234,148.7579,394.4372,21958181,1122229,264550,915126,1244211,373418,270283,441902.4,248053,483732.3,368315.5,398119.6,357403,88933,208.289,284131.8,381676.9
"53",437,"Factor #437",23.3554,115,660.1859,651.1394,907.6015,2662.842,4161.236,295.2311,224.7771,89.0507,64.49174,124.946,306664.8,150181.9,205378.5,160240.5,110062,182022.2,53886,17029,11258,36951,15501,44984,2356.99,20085,2846.62,49955,1571.398,1532.152,251487,131.2913,354.4079,48676,12373,136.0481,194.688,112776,107257,31739,15770,9844,393.5599,24679,155261.3,533206.2,337812.5,105086.1,353751.6,1150.846,947.075,2197.875,4049.146,89861,878.6723,313.1848,150.2935,130.5749,156.6085,242.9227,192.6425,471.8549,129.9234,133.0947,534361,112.6799,6721,11050,10444,21447,15656,21419,425183,265808.8,298159.8,66491.61,232158.5,266421.5,283294.6,67631.12,370096.8,229510.2,55558.45,34572.42,18626,1392.748,1200.388,12032,14111,92552,257.0285,416.8104,550.6669,157911,94212,64688,182859,53183,96.86927,201.2816,859530,6453,311.8049,12328,9329,561665,410552.8,239358.9,453925.7,425930,130793.8,113936.8,120420.3,213.4747,402.5766,365467.2,172783.5
"54",449,"Factor #449",23.3659,115,1889.462,2235.417,2793.61,3245.164,5132.203,864.4942,229.7068,72.56432,38.03541,125.2163,264281.9,61328.28,389407.6,63249.57,123915.1,78315,752.6766,2008.736,2636.989,950.4354,1024.929,1069.155,1822.944,1937.199,4260.578,1353.841,1331.279,1603.488,278337,30162,85373,31406,619.0504,374.2755,303.0362,676.5625,239.3105,720.5898,315.584,170.8724,508.1213,469.9417,114223,1170455,77466.59,241963.2,126700.7,13745,88699,2251.56,80972,88783,20518,39217,86828,172374,722149,41503,193169,215599,314.5265,132.6199,419.1282,133.4795,177.8194,211.8238,558.8665,453.4528,332.7707,162.5979,446202.7,56173.41,247817.7,1958319,100117.7,172478,245787,142680.5,36325.49,109277.1,57418.57,32641.26,18159,2059.857,2927.1,56536,827.199,57684,179.5988,341.6073,47278,159598,295064,349658,210808,61988,116.2045,257.4693,155.2603,452.3975,420.6781,257.3108,437.6407,189.8037,210802,104381.4,146098.4,8452815,27871623,83282.01,103881.2,282.681,504.8983,345989.8,458537.9
